path,frequency,class,split,subject,provenance_manifest,provenance_row,class_idx_7c,freq_idx,file_sha256
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060010_1573837305.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,2,0,0,7f06023acbfeeb7b007bf35492dcf273a189832738053a807d9fb03200955501
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060014_1574696344.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,3,0,0,ddb0fe494e64f9b08f684c9c0cf4217721978dd4ecc7b4a1642e191dc59594cd
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060014_1574696490.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,4,0,0,0c913f63d81c86eabcedfd26ba18e0fe7798aa6311fad53798d07c35d983372f
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060010_1573837135.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,5,0,0,ce95bbdfcace3bf2e1bf0d312027acdf40bb4ae5d3d6de85b89381482361d59a
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060029_1574627039.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,6,0,0,71257e03efe81b403ef3e676d8da4c9b2682aa227c0a4b3b42aca96bbbaa59f4
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060030_1574457136.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,7,0,0,69de7b67d5feb3240d8e2057f7a7fcc8836070cc553d1d501093f179f2dc9456
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060029_1574114867.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,8,0,0,cb8ac8d153cee45bd61021bffece0dc81f1b94bb6054654515fe78c67daf5506
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060029_1574627068.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,9,0,0,21789e0cd4644e089a936b95c04676cbd7da351bd8aa8452d6fc299530e71241
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060010_1573837181.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,10,0,0,37e33497a9c5301e5bbbbe4174d754087b3900d53841e79478aef278f37c07e0
/arc/project/st-zliu-1/heqingz/datasets/domainGenDataset_core_movements/10GHz/Away/06060010_1573837276.png,10GHz,Away,train,,/scratch/st-zliu-1/heqingz/CrossCarrier_Core6_FullSuite_20260924/manifests/core6_source/10GHz.csv,11,0,0,11c24921eae114f8b22c7dcf4a4c1af1c12358089d3af2739b253612d463c490
